"movie_id","genre","is_genre"
"1","Comedy","{""id"":400240,""type"":""genre"",""start"":1203368,""end"":1808966,""properties"":{""state"":""Comedy""}}"
"1","Animation","{""id"":400236,""type"":""genre"",""start"":1203368,""end"":1808802,""properties"":{""state"":""Animation""}}"
"1","Children's","{""id"":400244,""type"":""genre"",""start"":1203368,""end"":1811737,""properties"":{""state"":""Children's""}}"
"10","Drama","{""id"":401672,""type"":""genre"",""start"":1203377,""end"":1812529,""properties"":{""state"":""Drama""}}"
"10","War","{""id"":401670,""type"":""genre"",""start"":1203377,""end"":1811209,""properties"":{""state"":""War""}}"
"100","Thriller","{""id"":400466,""type"":""genre"",""start"":1203467,""end"":1813874,""properties"":{""state"":""Thriller""}}"
"100","Drama","{""id"":400458,""type"":""genre"",""start"":1203467,""end"":1809677,""properties"":{""state"":""Drama""}}"
"100","Crime","{""id"":400456,""type"":""genre"",""start"":1203467,""end"":1809483,""properties"":{""state"":""Crime""}}"
"1000","Comedy","{""id"":407056,""type"":""genre"",""start"":1204367,""end"":1812161,""properties"":{""state"":""Comedy""}}"
"1000","Western","{""id"":407058,""type"":""genre"",""start"":1204367,""end"":1814193,""properties"":{""state"":""Western""}}"
"1001","Comedy","{""id"":406484,""type"":""genre"",""start"":1204368,""end"":1809269,""properties"":{""state"":""Comedy""}}"
"1002","Comedy","{""id"":408494,""type"":""genre"",""start"":1204369,""end"":1812163,""properties"":{""state"":""Comedy""}}"
"1003","Comedy","{""id"":403980,""type"":""genre"",""start"":1204370,""end"":1812164,""properties"":{""state"":""Comedy""}}"
"1003","Children's","{""id"":403972,""type"":""genre"",""start"":1204370,""end"":1808932,""properties"":{""state"":""Children's""}}"
"1003","Mystery","{""id"":403982,""type"":""genre"",""start"":1204370,""end"":1813489,""properties"":{""state"":""Mystery""}}"
"1004","Western","{""id"":408434,""type"":""genre"",""start"":1204371,""end"":1811301,""properties"":{""state"":""Western""}}"
"1004","Drama","{""id"":408432,""type"":""genre"",""start"":1204371,""end"":1810015,""properties"":{""state"":""Drama""}}"
"1005","Drama","{""id"":406112,""type"":""genre"",""start"":1204372,""end"":1810016,""properties"":{""state"":""Drama""}}"
"1006","Drama","{""id"":406060,""type"":""genre"",""start"":1204373,""end"":1810017,""properties"":{""state"":""Drama""}}"
"1006","Sci-Fi","{""id"":406066,""type"":""genre"",""start"":1204373,""end"":1813836,""properties"":{""state"":""Sci-Fi""}}"
"1007","Comedy","{""id"":405344,""type"":""genre"",""start"":1204374,""end"":1809272,""properties"":{""state"":""Comedy""}}"
"1008","Drama","{""id"":408442,""type"":""genre"",""start"":1204375,""end"":1812911,""properties"":{""state"":""Drama""}}"
"1009","Drama","{""id"":407474,""type"":""genre"",""start"":1204376,""end"":1812912,""properties"":{""state"":""Drama""}}"
"101","Sci-Fi","{""id"":406216,""type"":""genre"",""start"":1203468,""end"":1810866,""properties"":{""state"":""Sci-Fi""}}"
"101","Action","{""id"":406218,""type"":""genre"",""start"":1203468,""end"":1811332,""properties"":{""state"":""Action""}}"
"101","Animation","{""id"":406212,""type"":""genre"",""start"":1203468,""end"":1808806,""properties"":{""state"":""Animation""}}"
"101","Adventure","{""id"":406220,""type"":""genre"",""start"":1203468,""end"":1811570,""properties"":{""state"":""Adventure""}}"
"101","Horror","{""id"":406224,""type"":""genre"",""start"":1203468,""end"":1813296,""properties"":{""state"":""Horror""}}"
"1010","Drama","{""id"":404012,""type"":""genre"",""start"":1204377,""end"":1810020,""properties"":{""state"":""Drama""}}"
"1011","Crime","{""id"":405374,""type"":""genre"",""start"":1204378,""end"":1812428,""properties"":{""state"":""Crime""}}"
"1012","Drama","{""id"":405150,""type"":""genre"",""start"":1204379,""end"":1810021,""properties"":{""state"":""Drama""}}"
"1012","Comedy","{""id"":405152,""type"":""genre"",""start"":1204379,""end"":1812166,""properties"":{""state"":""Comedy""}}"
"1013","Action","{""id"":407692,""type"":""genre"",""start"":1204380,""end"":1808604,""properties"":{""state"":""Action""}}"
"1013","Adventure","{""id"":407694,""type"":""genre"",""start"":1204380,""end"":1808772,""properties"":{""state"":""Adventure""}}"
"1013","Thriller","{""id"":407702,""type"":""genre"",""start"":1204380,""end"":1814036,""properties"":{""state"":""Thriller""}}"
"1014","Comedy","{""id"":400136,""type"":""genre"",""start"":1204381,""end"":1809274,""properties"":{""state"":""Comedy""}}"
"1015","Drama","{""id"":403422,""type"":""genre"",""start"":1204382,""end"":1810022,""properties"":{""state"":""Drama""}}"
"1015","Children's","{""id"":403424,""type"":""genre"",""start"":1204382,""end"":1811826,""properties"":{""state"":""Children's""}}"
"1016","Adventure","{""id"":400784,""type"":""genre"",""start"":1204383,""end"":1811666,""properties"":{""state"":""Adventure""}}"
"1016","Thriller","{""id"":400780,""type"":""genre"",""start"":1204383,""end"":1811144,""properties"":{""state"":""Thriller""}}"
