rating,Predict,user_id,movie_id,title
3,4.135,186,302,l.a. confidential
4,3.685,186,257,men in black
2,3.159,186,118,twister
4,3.101,186,546,broken arrow
3,3.825,186,95,aladdin
3,3.418,186,327,cop land
4,3.539,186,332,kiss the girls
1,3.44,186,288,scream
2,3.682,186,237,jerry maguire
5,3.633,186,1016,con air
3,3.16,186,294,liar liar
4,3.516,186,385,true lies
3,3.317,186,405,mission: impossible
3,3.746,186,298,face/off
1,3.808,186,258,contact
1,2.795,186,554,waterworld
4,3.515,186,568,speed
3,3.945,186,56,pulp fiction
3,3.757,186,303,ulee's gold
4,2.578,186,829,fled
4,3.305,186,291,absolute power
3,3.529,186,742,ransom
4,3.384,186,550,die hard: with a vengeance
1,2.64,186,406,thinner
2,3.468,186,121,independence day
4,2.533,186,540,money train
2,3.402,186,295,breakdown
2,2.661,186,820,space jam
5,3.647,186,566,clear and present danger
5,3.827,186,203,unforgiven
3,2.543,186,263,steel
5,3.735,186,300,air force one
5,3.62,186,470,tombstone
5,3.309,186,226,die hard 2
3,3.234,186,880,soul food
4,3.584,186,31,crimson tide
4,3.643,186,887,eve's bayou
4,3.298,186,1277,set it off
1,3.028,186,1083,albino alligator
4,4.135,191,302,l.a. confidential
2,3.539,191,332,kiss the girls
3,3.44,191,288,scream
4,3.735,191,300,air force one
3,3.588,191,328,conspiracy theory
4,3.883,191,750,amistad
4,4.174,191,272,good will hunting
3,3.176,191,339,mad city
3,3.376,191,343,alien: resurrection
3,3.446,191,751,tomorrow never dies
4,3.74,191,900,kundun
4,3.282,191,301,in & out
5,4.027,191,316,as good as it gets
5,4.286,191,313,titanic
4,3.614,191,340,boogie nights
4,3.386,191,345,deconstructing harry
3,3.584,191,270,gattaca
4,4.135,49,302,l.a. confidential
1,3.101,49,546,broken arrow
2,3.825,49,95,aladdin
1,3.16,49,294,liar liar
1,3.516,49,385,true lies
2,3.808,49,258,contact
5,3.945,49,56,pulp fiction
2,2.64,49,406,thinner
1,3.468,49,121,independence day
1,2.661,49,820,space jam
1,3.735,49,300,air force one
2,3.028,49,1083,albino alligator
2,3.588,49,328,conspiracy theory
2,3.376,49,343,alien: resurrection
3,3.282,49,301,in & out
3,4.286,49,313,titanic
2,3.584,49,270,gattaca
4,3.547,49,346,jackie brown
2,3.83,49,1,toy story
2,3.527,49,4,get shorty
5,3.646,49,432,fantasia
1,4.034,49,181,return of the jedi
2,3.864,49,423,e.t. the extra-terrestrial
2,3.181,49,54,outbreak
3,3.45,49,403,batman
4,3.888,49,208,young frankenstein
1,4.172,49,174,raiders of the lost ark
1,4.036,49,96,terminator 2: judgment day
5,3.62,49,151,up close & personal
4,3.851,49,514,annie hall
4,3.612,49,419,mary poppins
3,3.854,49,268,chasing amy
2,3.252,49,559,interview with the vampire
3,2.616,49,231,batman returns
1,3.198,49,2,goldeneye
3,3.709,49,202,groundhog day
2,2.775,49,235,mars attacks!
3,3.518,49,347,wag the dog
3,3.886,49,10,richard iii
2,3.455,49,218,cape fear
3,3.409,49,367,clueless
3,3.861,49,11,se7en
1,3.739,49,82,jurassic park
3,2.907,49,3,four rooms
3,2.84,49,695,kicking & screaming
1,3.897,49,204,back to the future
3,3.536,49,1067,bottle rocket
2,3.478,49,959,dazed and confused
3,3.235,49,1017,trees lounge
5,3.724,49,175,brazil
3,3.238,49,715,to die for
2,3.248,49,17,from dusk till dawn
3,2.563,49,325,crash
3,3.915,49,531,shine
5,3.526,49,47,ed wood
3,3.715,49,404,pinocchio
4,3.848,49,475,trainspotting
3,3.922,49,182,goodfellas
1,4.306,49,50,star wars
4,2.946,49,289,evita
5,4.006,49,185,psycho
5,4.002,49,168,monty python and the holy grail
4,3.898,49,57,priest
2,3.589,49,721,mallrats
3,3.928,49,8,babe
3,2.733,49,240,beavis and butt-head do america
2,3.649,49,70,four weddings and a funeral
1,3.499,49,161,top gun
4,3.631,49,99,snow white and the seven dwarfs
4,3.468,49,287,marvin's room
2,3.826,49,129,bound
4,3.094,49,583,romeo is bleeding
5,3.701,49,93,welcome to the dollhouse
3,3.703,49,418,cinderella
3,3.718,49,283,emma
3,2.873,49,569,wolf
4,2.656,49,396,serial mom
3,3.255,49,312,midnight in the garden of good and evil
2,3.39,49,627,robin hood: prince of thieves
2,2.546,49,542,pocahontas
1,3.263,49,821,mrs. winterbourne
4,3.787,49,42,clerks
3,3.413,49,101,heavy metal
4,3.497,49,628,sleepers
5,3.714,49,262,in the company of men
4,3.626,49,420,alice in wonderland
1,2.678,49,358,spawn
4,4.135,54,302,l.a. confidential
4,3.685,54,257,men in black
4,3.159,54,118,twister
3,3.101,54,546,broken arrow
5,3.418,54,327,cop land
4,3.44,54,288,scream
4,3.682,54,237,jerry maguire
4,3.633,54,1016,con air
4,3.317,54,405,mission: impossible
4,3.746,54,298,face/off
4,3.808,54,258,contact
2,2.578,54,829,fled
1,3.305,54,291,absolute power
5,3.529,54,742,ransom
2,2.64,54,406,thinner
4,3.468,54,121,independence day
3,3.402,54,295,breakdown
3,2.661,54,820,space jam
4,3.588,54,328,conspiracy theory
5,4.174,54,272,good will hunting
4,4.286,54,313,titanic
4,3.614,54,340,boogie nights
4,3.547,54,346,jackie brown
4,3.83,54,1,toy story
5,4.034,54,181,return of the jedi
2,3.62,54,151,up close & personal
5,3.854,54,268,chasing amy
3,2.563,54,325,crash
5,3.848,54,475,trainspotting
5,4.306,54,50,star wars
4,2.733,54,240,beavis and butt-head do america
3,3.37,54,685,executive decision
4,3.579,54,471,courage under fire
1,2.831,54,930,chain reaction
3,3.423,54,255,my best friend's wedding
2,3.127,54,597,eraser
5,3.671,54,276,leaving las vegas
4,2.669,54,260,event horizon
3,2.735,54,827,daylight
3,4.135,62,302,l.a. confidential
2,3.685,62,257,men in black
2,3.159,62,118,twister
4,3.101,62,546,broken arrow
2,3.44,62,288,scream
3,3.682,62,237,jerry maguire
4,3.633,62,1016,con air
1,3.16,62,294,liar liar
3,3.317,62,405,mission: impossible
4,3.746,62,298,face/off
5,3.808,62,258,contact
1,2.795,62,554,waterworld
3,3.515,62,568,speed
5,3.945,62,56,pulp fiction
2,3.529,62,742,ransom
4,3.468,62,121,independence day
3,3.588,62,328,conspiracy theory
2,3.584,62,270,gattaca
2,3.83,62,1,toy story
4,3.527,62,4,get shorty
4,4.034,62,181,return of the jedi
3,3.864,62,423,e.t. the extra-terrestrial
4,3.45,62,403,batman
4,4.172,62,174,raiders of the lost ark
4,4.036,62,96,terminator 2: judgment day
5,3.62,62,151,up close & personal
3,3.851,62,514,annie hall
3,3.252,62,559,interview with the vampire
4,2.775,62,235,mars attacks!
4,3.739,62,82,jurassic park
3,2.907,62,3,four rooms
3,3.897,62,204,back to the future
4,3.478,62,959,dazed and confused
2,3.238,62,715,to die for
4,3.526,62,47,ed wood
4,3.848,62,475,trainspotting
5,3.922,62,182,goodfellas
5,4.306,62,50,star wars
5,4.002,62,168,monty python and the holy grail
5,3.928,62,8,babe
3,3.649,62,70,four weddings and a funeral
3,3.826,62,129,bound
4,3.718,62,283,emma
1,2.873,62,569,wolf
2,3.37,62,685,executive decision
2,3.127,62,597,eraser
5,3.671,62,276,leaving las vegas
