title,similar_title,cosine_similarity
pirates of the caribbean: at world's end,penguins of madagascar,0.8616675
spectre,die another day,0.9026165
the dark knight rises,the dark knight,0.895066
spider-man 3,captain america: civil war,0.8547764
avengers: age of ultron,the avengers,0.897273
harry potter and the half-blood prince,harry potter and the order of the phoenix,0.88463426
superman returns,superman,0.9069731
quantum of solace,never say never again,0.868515
pirates of the caribbean: dead man's chest,kung fu panda 3,0.85376734
the lone ranger,the legend of the lone ranger,0.86160713
the chronicles of narnia: prince caspian,"the chronicles of narnia: the lion, the witch and the wardrobe",0.9190117
the amazing spider-man,spider-man 2,0.87337816
robin hood,robin hood: prince of thieves,0.85917616
the hobbit: the desolation of smaug,the hobbit: an unexpected journey,0.90339005
the golden compass,elektra,0.8578706
king kong,ghostbusters,0.85721016
captain america: civil war,iron man 3,0.8581407
battleship,after earth,0.8562701
jurassic world,the good dinosaur,0.8726435
skyfall,johnny english reborn,0.8635609
spider-man 2,the amazing spider-man 2,0.89526963
iron man 3,monsters university,0.8510472
x-men: the last stand,x-men: days of future past,0.85809934
monsters university,jupiter ascending,0.8532337
transformers: revenge of the fallen,transformers: age of extinction,0.8805807
transformers: age of extinction,transformers: dark of the moon,0.8817158
oz: the great and powerful,legends of oz: dorothy's return,0.85226405
the amazing spider-man 2,hook,0.8781983
cars 2,cars,0.8640159
toy story 3,toy story 2,0.87120694
terminator salvation,independence day: resurgence,0.8513629
furious 7,iron man,0.85186976
x-men: days of future past,x-men: apocalypse,0.89748746
star trek into darkness,star trek: the motion picture,0.8524812
the great gatsby,harold & kumar go to white castle,0.8618431
transformers: dark of the moon,transformers,0.8926066
indiana jones and the kingdom of the crystal skull,the man from u.n.c.l.e.,0.8535675
the good dinosaur,dinosaur,0.87351316
wall·e,bill & ted's bogus journey,0.8526181
rush hour 3,rush hour 2,0.8688659
a christmas carol,elf,0.8516314
the legend of tarzan,the jungle book 2,0.87195873
x-men: apocalypse,dawn of the planet of the apes,0.8517723
the dark knight,batman begins,0.8796761
monsters vs aliens,i married a strange person!,0.8557878
